Date Range,Walk Length,Context Window Size,Return Parameter,In-Out Parameter,used_stop_docs,File Name
"(1200, 1325)",50,5,0.5,0.5,n,model-1200-1325-20230809-0.n2v
"(1200, 1325)",50,10,0.5,0.5,n,model-1200-1325-20230809-1.n2v
"(1200, 1325)",50,20,0.5,0.5,n,model-1200-1325-20230809-2.n2v
"(1200, 1325)",100,5,0.5,0.5,n,model-1200-1325-20230809-3.n2v
"(1200, 1325)",100,10,0.5,0.5,n,model-1200-1325-20230809-4.n2v
"(1200, 1325)",100,20,0.5,0.5,n,model-1200-1325-20230809-5.n2v
"(1200, 1325)",150,5,0.5,0.5,n,model-1200-1325-20230809-6.n2v
"(1200, 1325)",150,10,0.5,0.5,n,model-1200-1325-20230809-7.n2v
"(1200, 1325)",150,20,0.5,0.5,n,model-1200-1325-20230809-8.n2v
"(1200, 1325)",50,5,0.5,1,n,model-1200-1325-20230809-9.n2v
"(1200, 1325)",50,10,0.5,1,n,model-1200-1325-20230809-10.n2v
"(1200, 1325)",50,20,0.5,1,n,model-1200-1325-20230809-11.n2v
"(1200, 1325)",100,5,0.5,1,n,model-1200-1325-20230809-12.n2v
"(1200, 1325)",100,10,0.5,1,n,model-1200-1325-20230809-13.n2v
"(1200, 1325)",100,20,0.5,1,n,model-1200-1325-20230810-14.n2v
"(1200, 1325)",150,5,0.5,1,n,model-1200-1325-20230810-15.n2v
"(1200, 1325)",150,10,0.5,1,n,model-1200-1325-20230810-16.n2v
"(1200, 1325)",150,20,0.5,1,n,model-1200-1325-20230810-17.n2v
"(1200, 1325)",50,5,0.5,1.5,n,model-1200-1325-20230810-18.n2v
"(1200, 1325)",50,10,0.5,1.5,n,model-1200-1325-20230810-19.n2v
"(1200, 1325)",50,20,0.5,1.5,n,model-1200-1325-20230810-20.n2v
"(1200, 1325)",100,5,0.5,1.5,n,model-1200-1325-20230810-21.n2v
"(1200, 1325)",100,10,0.5,1.5,n,model-1200-1325-20230810-22.n2v
"(1200, 1325)",100,20,0.5,1.5,n,model-1200-1325-20230810-23.n2v
"(1200, 1325)",150,5,0.5,1.5,n,model-1200-1325-20230810-24.n2v
"(1200, 1325)",150,10,0.5,1.5,n,model-1200-1325-20230810-25.n2v
"(1200, 1325)",150,20,0.5,1.5,n,model-1200-1325-20230810-26.n2v
"(1200, 1325)",50,5,1,0.5,n,model-1200-1325-20230810-27.n2v
"(1200, 1325)",50,10,1,0.5,n,model-1200-1325-20230810-28.n2v
"(1200, 1325)",50,20,1,0.5,n,model-1200-1325-20230810-29.n2v
"(1200, 1325)",100,5,1,0.5,n,model-1200-1325-20230810-30.n2v
"(1200, 1325)",100,10,1,0.5,n,model-1200-1325-20230810-31.n2v
"(1200, 1325)",100,20,1,0.5,n,model-1200-1325-20230810-32.n2v
"(1200, 1325)",150,5,1,0.5,n,model-1200-1325-20230810-33.n2v
"(1200, 1325)",150,10,1,0.5,n,model-1200-1325-20230810-34.n2v
"(1200, 1325)",150,20,1,0.5,n,model-1200-1325-20230811-35.n2v
"(1200, 1325)",50,5,1,1,n,model-1200-1325-20230811-36.n2v
"(1200, 1325)",50,10,1,1,n,model-1200-1325-20230811-37.n2v
"(1200, 1325)",50,20,1,1,n,model-1200-1325-20230811-38.n2v
"(1200, 1325)",100,5,1,1,n,model-1200-1325-20230811-39.n2v
"(1200, 1325)",100,10,1,1,n,model-1200-1325-20230811-40.n2v
"(1200, 1325)",100,20,1,1,n,model-1200-1325-20230811-41.n2v
"(1200, 1325)",150,5,1,1,n,model-1200-1325-20230811-42.n2v
"(1200, 1325)",150,10,1,1,n,model-1200-1325-20230811-43.n2v
"(1200, 1325)",150,20,1,1,n,model-1200-1325-20230811-44.n2v
"(1200, 1325)",50,5,1,1.5,n,model-1200-1325-20230811-45.n2v
"(1200, 1325)",50,10,1,1.5,n,model-1200-1325-20230811-46.n2v
"(1200, 1325)",50,20,1,1.5,n,model-1200-1325-20230811-47.n2v
